MC,SnapMC,DCquad,DCTriUniform,DCTri2,DCTri4,DCTriUniform-EnvOffset,DCTri2-EnvOffset,DCTri4-EnvOffset
0.14220000000000002,0.2404,0.0938,0.1002,0.25029999999999997,0.4046,0.1155,0.24559999999999998,0.406
1.0247,1.5862999999999998,0.8657,0.9372,3.3972,5.8949,1.203,3.3749000000000002,5.986
0.1684,0.26550000000000007,0.12480000000000002,0.1345,0.4202,0.7128,0.16419999999999998,0.39710000000000006,0.7172000000000002
0.308,0.5013,0.21760000000000007,0.22830000000000003,0.6408,1.0642999999999998,0.27220000000000005,0.6377,1.0688
0.31900000000000006,0.5096,0.2484,0.2691,0.8937999999999999,1.5172,0.3344999999999999,0.8484999999999999,1.5157
0.1048,0.15159999999999998,0.0892,0.0954,0.36589999999999995,0.6472,0.12179999999999999,0.36119999999999997,0.6481999999999999
0.0326,0.046299999999999994,0.029400000000000003,0.029300000000000003,0.1345,0.24689999999999998,0.0389,0.1311,0.2435
0.075,0.1032,0.0639,0.0701,0.28600000000000003,0.5189,0.0954,0.2873,0.5173000000000001
0.12000000000000002,0.15439999999999998,0.1406,0.16109999999999997,0.7421,1.3328000000000002,0.2172,0.7291999999999998,1.3435000000000001
0.1034,0.1578,0.0875,0.0939,0.34859999999999997,0.6206,0.1217,0.3499,0.6315
0.1206,0.1766,0.1157,0.1238,0.5515,0.9923,0.1722,0.5345,1.0284
